fact_one,caseNm,courtNm,judmnAdjuDe,caseNo
피고인이 보험금을 편취할 의사로 허위 또는 과장하여 보험사고를 신고하거나 고의로 보험사고를 유발한 경우 보험금에 관한 사기죄의 성립 여부 및 성립 범위사기죄의 성립 요건피고인이 남편의 폭행으로 목을 다쳤을 뿐인데도 교통사고로 상해를 입었다는 취지로 보험금을 청구하여 다수의 보험회사들로부터 보험금을 편취하였다는 내용으로 기소된 사안에서 피고인의 보험금청구가 기망행위에 해당한다거나 인과관계가 있다고 단정하여 사기죄를 인정한 원심판결에 법리오해 또는 심리미진의 위법이 있다고 한 사례,사기,대법원,2011.2.24.,2010도17512
법원이 공소장 변경 없이 직권으로 공소장에 기재된 공소사실과 다른 범죄사실을 인정하기 위한 요건‘토지매매계약체결에 관한 약정이 없음에도 피해자를 기망하였다’는 공소사실과 ‘수분양자들의 분양계약체결 의사를 확인한 바 없음에도 피해자를 기망하였다’는 원심 인정의 범죄사실은 그 기망의 내용이나 태양을 달리하는 것이어서 공소장의 변경 없이 직권으로 공소사실과 다른 위 범죄사실을 유죄로 인정한 원심의 조치는 위법하다고 한 사례,사기,대법원,2010.4.29.,2010도2414
항소법원이 피고인에게 소송기록 접수통지를 2회에 걸쳐 한 경우 항소이유서 제출기간의 기산일항소심에서 국선변호인이 선정된 이후 변호인이 없는 다른 사건이 병합된 경우 항소법원은 국선변호인에게 병합된 사건에 관한 소송기록 접수통지를 하여야 하는지 여부항소법원이 국선변호인 선정 이후 병합된 사건에 관하여 국선변호인에게 소송기록 접수통지를 하지 아니함으로써 항소이유서 제출기회를 주지 아니한 채 판결을 선고한 것은 위법하다고 한 사례,사기,대법원,2010.5.27.,2010도3377
사기 범행의 피해자로부터 현금을 예금계좌로 송금받은 경우 그 사기죄의 객체가 ‘재물’인지 또는 ‘재산상의 이익’인지 여부본인 명의의 예금계좌를 양도하는 방법으로 본범의 사기 범행을 용이하게 한 방조범이 본범의 사기행위 결과 그의 예금계좌에 입금된 돈을 인출한 경우 ‘장물취득죄’가 성립하는지 여부사기 범행에 이용되리라는 사정을 알고서도 자신의 명의로 은행 예금계좌를 개설하여 갑에게 이를 양도함으로써 갑이 을을 속여 을로 하여금 현금을 위 계좌로 송금하게 한 사기 범행을 방조한 피고인이 위 계좌로 송금된 돈 중 일부를 인출하여 갑이 편취한 장물을 취득하였다는 공소사실에 대하여 위 ‘장물취득’ 부분을 무죄로 선고한 원심판단을 정당하다고 한 사례,사기방조·장물취득·전자금융거래법위반,대법원,2010.12.9.,2010도6256
법인의 대표자 또는 피용자가 그 법인 명의로 한 채무부담행위가 관련 법령에 위배되어 무효인 경우 위 법인에 대한 배임죄를 구성하는지 여부상호저축은행의 대표이사 등이 구 상호저축은행법 의2 를 위반하여 채무보증 또는 담보제공 행위를 한 경우 위 은행에 대한 배임죄가 성립하는지 여부구 부정수표 단속법   위반죄의 성립 요건특정경제범죄 가중처벌 등에 관한 법률 에서 말하는 ‘알선’의 의미 및 그 판단 기준,특정경제범죄가중처벌등에관한법률위반(배임)·특정경제범죄가중처벌등에관한법률위반(사기)·상호저축은행법위반·업무상배임·사기·사기미수·위계공무집행방해·사문서위조·위조사문서행사·특정경제범죄가중처벌등에관한법률위반(알선수재)·무고·주식회사의외부감사에관한법률위반·부정수표단속법위반·조세범처벌법위반·공정증서원본불실기재·불실기재공정증서원본행사,대법원,2010.9.30.,2010도6490
이른바 ‘사기도박’의 경우 사기죄 외에 도박죄가 별도로 성립하는지 여부사기도박에서 실행의 착수시기피고인 등이 사기도박에 필요한 준비를 갖추고 그 실행에 착수한 후에 사기도박을 숨기기 위하여 얼마간 정상적인 도박을 하였더라도 이는 사기죄의 실행행위에 포함되는 것이어서 피고인에 대하여는 피해자들에 대한 사기죄만이 성립하고 도박죄는 따로 성립하지 아니한다고 한 사례피고인 등이 피해자들을 유인하여 사기도박으로 도금을 편취한 행위는 사회관념상 1개의 행위로 평가함이 상당하므로 피해자들에 대한 각 사기죄는 상상적 경합의 관계에 있다고 한 사례,사기·도박,대법원,2011.1.13.,2010도9330
공소사실이나 범죄사실의 동일성 여부 판단 기준피고인에 대하여 유죄판결이 확정된 ‘아파트 사전분양’으로 인한 구 주택건설촉진법 위반죄 범죄사실과 ‘아파트를 건축·분양할 의사나 능력 없이 피해자들을 기망하여 분양대금을 편취하였다’는 내용의 특정경제범죄 가중처벌 등에 관한 법률 위반 공소사실 사이에 동일성이 있다거나 두 죄가 1죄 내지 상상적 경합관계에 있다고 할 수 없다고 본 원심판단을 정당하다고 한 사례법원이 공소장변경절차를 거치지 아니하고 공소사실과 다른 사실을 인정하기 위한 요건피고인들이 특정경제범죄 가중처벌 등에 관한 법률 위반으로 기소된 사안에서 원심이 공소사실과 다른 내용으로 ‘피고인들의 임무’를 인정하였더라도 기본적 사실의 동일성 범위를 벗어나 새로운 임무를 인정하였다거나 이로 인해 피고인들의 방어권 행사에 실질적 불이익이 초래되었다고 볼 수 없다고 한 사례배임죄에서 ‘본인에게 손해를 가한 때’의 의미 및 위임받은 사무가 소유권이전등기의무인 경우 배임죄의 성립 요건피고인들이 담보권 실행을 위한 경매절차가 진행 중인 호텔을 피해자 측에 매도하면서 이에 관한 최선순위 근저당권과 소유권이전청구권 가등기를 이전하여 주기로 한 약정에 따라 중도금까지 수령하였는데도 가등기를 피고인들이 실질적으로 지배하는 갑 회사 및 을 회사에 이전하였다고 하여 특정경제범죄 가중처벌 등에 관한 법률 위반으로 기소된 사안에서 이로 인해 피해자의 피고인들에 대한 가등기이전등기청구권이 이행불능에 빠질 위험성이 발생하였다는 이유로 피고인들에게 유죄를 인정한 원심판단을 수긍한 사례부동산 이중매매로 인한 배임죄에서 특정경제범죄 가중처벌 등에 관한 법률  의 적용을 전제로 대상 부동산 가액을 산정할 때 부동산 시가 상당액에서 근저당권 등에 의한 부담 금액을 공제하여야 하는지 여부피고인들이 담보권 실행을 위한 경매절차가 진행 중인 호텔을 피해자 측에 매도하면서 이에 관한 최선순위 근저당권과 소유권이전청구권 가등기를 이전하여 주기로 한 약정에 따라 중도금까지 수령하였는데도 가등기를 다른 회사들에 이전하였다고 하여 특정경제범죄 가중처벌 등에 관한 법률 위반으로 기소된 사안에서 원심이 같은 법  의 적용을 전제로 피고인들의 배임행위로 인한 이득액을 산정할 때 대상 부동산의 시가 상당액에서 근저당권 등에 의한 부담 금액을 공제하지 않은 잘못이 있으나 이와 같은 법리오해는 판결 결과에 영향이 없다고 한 사례,특정경제범죄가중처벌등에관한법률위반(사기)·사기·특정경제범죄가중처벌등에관한법률위반(배임),대법원,2011.6.30.,2011도1651
친족상도례가 적용되는 ‘친족’의 범위 및 사기죄의 피고인과 피해자가 사돈지간인 경우 친족에 해당하는지 여부피고인이 자신과 사돈지간인 피해자를 속여 돈을 편취하였다며 사기로 기소된 사안에서 피고인과 피해자가 2촌의 인척인 친족이라는 이유로 위 범죄를 친족상도례가 적용되는 친고죄라고 판단한 후 피해자의 고소가 고소기간을 경과하여 부적법하다고 보아 공소를 기각한 원심판결 및 제1심판결을 모두 파기한 사례,사기,대법원,2011.4.28.,2011도2170
피고인이 범한 갑죄 을죄 병죄의 범행일시는 모두 피고인의 정죄 등에 대한 판결 확정 이후이고 그 중 갑죄와 을죄의 범행일시는 피고인의 무죄에 대한 판결 확정 전인 반면 병죄의 범행일시는 그 이후인데 무죄의 범행일시가 제1판결 확정 전인 사안에서 제2판결의 확정을 전후한 갑죄 및 을죄와 병죄 사이에는 형법  전·후단의 어느 경합범 관계도 성립할 수 없고 결국 각각의 범죄에 대하여 별도로 형을 정하여 선고할 수밖에 없다는 취지의 원심판단을 정당하다고 한 사례,특정경제범죄가중처벌등에관한법률위반(사기)·사기,대법원,2011.6.10.,2011도2351
회사의 사무를 처리하는 자가 회사로 하여금 자신의 채무에 관하여 연대보증채무를 부담하게 한 다음 회사의 자금을 보관하는 자의 지위에서 이를 임의로 인출하여 위 개인채무 변제에 사용한 행위가 배임죄와 별도로 횡령죄를 구성하는지 여부갑 주식회사의 대표이사와 실질적 운영자인 피고인들이 공모하여 자신들이 을에 대해 부담하는 개인채무 지급을 위하여 갑 회사로 하여금 약속어음을 공동발행하게 하고 위 채무에 대하여 연대보증하게 한 후에 갑 회사를 위하여 보관 중인 돈을 임의로 인출하여 을에게 지급하여 위 채무를 변제한 사안에서 피고인들에게 배임죄와 별도로 횡령죄를 인정한 원심판단을 정당하다고 한 사례,특정경제범죄가중처벌등에관한법률위반(배임)·특정경제범죄가중처벌등에관한법률위반(횡령)·상법위반·공정증서원본불실기재·불실기재공정증서원본행사·증권거래법위반·근로기준법위반·업무상횡령·특정경제범죄가중처벌등에관한법률위반(사기)(인정된죄명:사기),대법원,2011.4.14.,2011도277
경제적 이익을 기대할 수 있는 자금운용의 권한 내지 지위를 획득하는 것이 사기죄의 객체인 재산상 이익에 포함되는지 여부피고인이 자신이 개발한 주식운용프로그램을 이용하면 상당한 수익을 낼 수 있고 만일 손해가 발생하더라도 원금과 은행 정기예금 이자 상당의 반환은 보장하겠다는 취지로 피해자 갑을 기망하여 갑의 자금이 예치된 갑 명의 주식계좌에 대한 사용권한을 부여받아 재산상 이익을 취득하였다는 내용으로 기소된 사안에서 피고인에게 사기죄를 인정한 원심판단의 결론을 정당하다고 한 사례,특정경제범죄가중처벌등에관한법률위반(사기)(인정된죄명:사기),대법원,2012.9.27.,2011도282
검사가 피고인들의 토지거래허가구역 내 토지에 대한 미등기 전매 후 근저당권설정행위를 배임으로 기소하였다가 원심에서 매매대금 편취에 대한 사기 공소사실을 예비적으로 추가하는 공소장변경신청을 한 사안에서 위 각 범죄사실은 기본적 사실관계가 동일하다고 볼 수 없어 공소장변경을 허가할 수 없는데도 이와 달리 보아 공소장변경을 허가한 원심의 조치에 공소사실의 동일성 등에 관한 법리를 오해한 위법이 있다고 한 사례,"배임(피고인1에대하여인정된죄명:사기,피고인2에대한예비적죄명:사기)·사기",대법원,2012.4.13.,2011도3469
난자의 유상거래를 금지하고 처벌하는 구 생명윤리 및 안전에 관한 법률     에서 정한 ‘재산상의 이익 그 밖에 반대급부를 조건으로’ 난자를 이용하는 행위에 난자 제공의 대가로 채무면제 등 소극적 이익을 제공하는 것이 포함되는지 여부 및 위 규정이 난자를 체세포복제배아의 생성에 이용하는 경우에 적용되는지 여부피고인이 갑과 공모하여 갑이 운영하는 병원에서 불임여성들로부터 인공수정 시술비 등을 감면하여 주는 조건으로 난자를 제공받아 체세포복제 배아줄기세포 연구에 이용하였다고 하여 구 생명윤리 및 안전에 관한 법률 위반으로 기소된 사안에서 피고인의 행위가 같은 법  에서 금지하는 ‘재산상의 이익 그 밖에 반대급부를 조건으로’ 난자를 이용하는 행위에 해당한다고 본 원심판단을 정당하다고 한 사례,특정경제범죄가중처벌등에관한법률위반(사기)·업무상횡령·사기·생명윤리및안전에관한법률위반,대법원,2014.2.27.,2011도48
형법  본문에서 정한 ‘대한민국 또는 대한민국 국민에 대하여 죄를 범한 때’의 의미캐나다 시민권자인 피고인이 캐나다에서 위조사문서를 행사하였다는 내용으로 기소된 사안에서 외국인 국외범으로서 우리나라에 재판권이 있다고 보아 유죄를 인정한 원심판결에 재판권 인정에 관한 법리오해의 위법이 있다고 한 사례형법  단서에서 정한 ‘외국법규의 존재’에 대한 증명의 정도와 증명책임의 소재캐나다 시민권자인 피고인이 피해자들을 기망하여 투자금 명목의 돈을 편취하였다는 내용으로 기소된 사안에서 공소사실 중 ‘피고인이 대한민국 국민을 기망하여 캐나다에서 투자금을 수령한 부분’이 행위지인 캐나다 법률에 의하여 범죄를 구성하는지 등에 관하여 아무런 증명이 없는 상황에서 공소사실 전부를 유죄로 인정한 원심판결에 법리오해 및 심리미진의 위법이 있다고 한 사례,특정경제범죄가중처벌등에관한법률위반(사기)·사기·위조사문서행사,대법원,2011.8.25.,2011도6507
갑 주식회사의 실질적 운영자인 피고인 등이 공모하여 회사에 대한 고의 부도 준비 사실 등을 숨긴 채 갑 회사 명의로 대한주택보증 주식회사와 임대보증금 보증약정을 체결하여 재산상 이익을 취득하였다고 하여 구 특정경제범죄 가중처벌 등에 관한 법률 위반으로 기소된 사안에서 사기죄가 성립하지 않는다고 본 원심판결에 사기죄의 기수 시기 등에 관한 법리오해의 위법이 있다고 한 사례,특정경제범죄가중처벌등에관한법률위반(사기)·뇌물수수·제3자뇌물취득,대법원,2013.11.28.,2011도7229
주식회사의 설립업무 또는 증자업무를 담당한 자와 주식인수인이 사전 공모하여 제3자로부터 차용한 돈으로 주금을 납입하고 설립등기절차 또는 증자등기절차 후 바로 인출하여 변제한 경우 업무상횡령죄 성립 여부 및 주금 납입으로 회사 자본이 실질적으로 증가한 것으로 볼 수 있는지 판단하는 기준갑 주식회사의 사실상 경영자인 피고인이 을에게서 돈을 차용하여 가장납입의 방법으로 갑 회사의 유상증자에 참여한 후 을이 납입한 주금 해당액을 바로 인출하여 자기앞수표로 반환하였는데 이후 회계감사에 대비하여 위 수표를 을에게서 잠시 돌려받아 갑 회사 계좌에 입금한 뒤 다시 해당 금액을 인출하여 변제한 사안에서 피고인에게 갑 회사의 돈을 임의로 유용한다는 불법영득의사가 존재한다고 볼 수 없는데도 이와 달리 판단한 원심판결에 법리오해의 위법이 있다고 한 사례이른바 ‘소송사기’를 사기죄로 인정하기 위한 요건 및 허위의 내용으로 소송을 제기한 경우 허위의 증거를 이용하지 않더라도 법원을 기망하는 수단이 될 수 있는지 여부갑 주식회사의 경영자인 피고인이 갑 회사와 을 주식회사 사이에 허위로 작성된 물품공급계약서에 따른 공급을 완료하였음을 전제로 을 회사를 상대로 물품대금 청구소송을 제기하면서 증거자료로 위 물품공급계약서를 제출하였다가 그 후 소송을 취하한 사안에서 피고인의 행위가 사기미수죄에 해당한다고 본 원심판단을 수긍한 사례,특정경제범죄가중처벌등에관한법률위반(횡령)·특정경제범죄가중처벌등에관한법률위반(배임)·유가증권위조·위조유가증권행사·사문서위조·위조사문서행사·공정증서원본불실기재·불실기재공정증서원본행사·사기미수·신용훼손·무고·범인은닉·사기·성폭력범죄의처벌및피해자보호등에관한법률위반(카메라등이용촬영)·상해·협박,대법원,2011.9.8.,2011도7262
사기죄의 구성요건 중 ‘처분행위’의 의의와 요건피고인이 피해자들을 기망하여 이자 지급 약정하에 대여금을 교부받았으나 이자를 지급하지 않은 사안에서 위 이자 부분에 대하여 피해자들의 별도의 처분행위가 있었다고 단정할 자료가 없는데도 사기죄를 인정한 원심판단에 심리미진이나 채증법칙 위반 또는 법리오해의 위법이 있다고 한 사례수인의 피해자에 대하여 단일한 범의하에 동일한 방법으로 각 피해자별로 기망행위를 한 경우 사기죄의 죄수 및 포괄일죄로 볼 수 있는 경우사기죄 피해자들의 피해 법익이 동일하다고 볼 근거가 없는데도 위 피해자들이 부부라는 사정만으로 이들에 대한 각 사기 행위가 포괄하여 일죄에 해당한다고 보아 특정경제범죄 가중처벌 등에 관한 법률을 적용한 원심판결에 죄수에 관한 심리미진 또는 법리오해의 위법이 있다고 한 사례,특정경제범죄가중처벌등에관한법률위반(사기)·사기,대법원,2011.4.14.,2011도769
피해자의 재산적 처분행위 또는 이를 유발한 피고인의 행위가 피고인이 도모하는 사업의 성패 내지 성과와 밀접하게 관련된 경우 사기죄 성립 여부에 관한 판단 방법갑 주식회사 운영자인 피고인이 회사 운영이 어려워 돈을 차용하거나 투자를 받더라도 갚을 의사나 능력이 없는데도 피해자들을 기망하여 회사 운영자금 명목으로 돈을 차용하여 편취하였다는 내용으로 기소된 사안에서 피고인이 피해자들을 기망하였다거나 피고인의 기망행위로 인하여 피해자들이 착오에 빠져 재산적 처분행위를 하였다고 볼 수 없는데도 이와 달리 보아 유죄를 인정한 원심판결에 법리오해의 위법이 있다고 한 사례,사기,대법원,2011.10.13.,2011도8829
부동산 소유자가 행방불명된 경우 그의 사망 및 상속인의 부존재에 관한 증명이나 민법  내지 에 의한 국가귀속 절차 없이 단순히 국유재산법 에 의한 무주부동산 처리절차를 거쳐 국유재산으로 등록된 부동산이 국가 소유로 귀속되는지 여부갑이 일제시대 사정받은 토지에 대하여 소유자 미복구를 원인으로 국가 명의의 소유권보존등기가 되어 있는 상태에서 피고인이 제1심 공동피고인과 공모하여 을이 사정명의인 갑의 소유권을 대습상속한 것처럼 상속인의 사망 시기 등을 조작한 다음 을을 원고로 하여 국가를 상대로 소유권보존등기 말소등기 청구소송을 제기하여 이를 일부 인용하는 취지의 화해권고결정이 확정된 사안에서 청구인용 부분에 대하여 피고인에게 사기죄와 사기미수죄를 인정한 원심판단을 수긍한 사례,특정경제범죄가중처벌등에관한법률위반(일부인정된죄명:사기·사기미수)·사기미수·공전자기록등불실기재·불실기재공전자기록등행사,대법원,2011.12.13.,2011도8873
구 조세범 처벌법 의2  의 죄와 같은 법   의 죄의 죄수 관계 및 구 특정범죄 가중처벌 등에 관한 법률 의2 의 죄와 같은 법  의 죄에도 동일한 법리가 적용되는지 여부피고인이 세금계산서합계표를 허위기재하여 정부에 제출하는 방법으로 부가가치세를 포탈하였다고 하며 구 특정범죄 가중처벌 등에 관한 법률 위반 등으로 기소된 사안에서 ‘허위기재 세금계산서합계표 제출행위’와 ‘사기 기타 부정한 행위로써 부가가치세를 포탈한 행위’가 별개의 행위로서 별개의 죄를 구성한다고 본 원심의 조치를 수긍한 사례,특정범죄가중처벌등에관한법률위반(조세)·특정범죄가중처벌등에관한법률위반(허위세금계산서교부등)·조세범처벌법위반,대법원,2011.12.8.,2011도9242
